experiment,seed,control,treatment,difference_treatment_minus_control,primary_metric,direction
pad_risk,30382,0.044444444444444446,0.023333333333333334,-0.021111111111111112,unsafe_action_rate,less
pad_risk,30435,0.034444444444444444,0.014444444444444444,-0.02,unsafe_action_rate,less
pad_risk,30488,0.035555555555555556,0.015555555555555555,-0.02,unsafe_action_rate,less
pad_risk,30541,0.03777777777777778,0.013333333333333334,-0.024444444444444442,unsafe_action_rate,less
pad_risk,30594,0.05,0.01888888888888889,-0.031111111111111114,unsafe_action_rate,less
pad_risk,30647,0.043333333333333335,0.021111111111111112,-0.022222222222222223,unsafe_action_rate,less
pad_risk,30700,0.04888888888888889,0.015555555555555555,-0.03333333333333334,unsafe_action_rate,less
pad_risk,30753,0.03111111111111111,0.013333333333333334,-0.017777777777777774,unsafe_action_rate,less
pad_risk,30806,0.04666666666666667,0.01888888888888889,-0.02777777777777778,unsafe_action_rate,less
pad_risk,30859,0.043333333333333335,0.01888888888888889,-0.024444444444444446,unsafe_action_rate,less
pad_risk,30912,0.056666666666666664,0.023333333333333334,-0.033333333333333326,unsafe_action_rate,less
pad_risk,30965,0.042222222222222223,0.024444444444444446,-0.017777777777777778,unsafe_action_rate,less
pad_risk,31018,0.04111111111111111,0.013333333333333334,-0.027777777777777776,unsafe_action_rate,less
pad_risk,31071,0.03333333333333333,0.006666666666666667,-0.026666666666666665,unsafe_action_rate,less
pad_risk,31124,0.03888888888888889,0.017777777777777778,-0.021111111111111112,unsafe_action_rate,less
pad_risk,31177,0.034444444444444444,0.011111111111111112,-0.02333333333333333,unsafe_action_rate,less
pad_risk,31230,0.052222222222222225,0.024444444444444446,-0.02777777777777778,unsafe_action_rate,less
pad_risk,31283,0.03888888888888889,0.02,-0.01888888888888889,unsafe_action_rate,less
pad_risk,31336,0.042222222222222223,0.016666666666666666,-0.025555555555555557,unsafe_action_rate,less
pad_risk,31389,0.042222222222222223,0.01,-0.03222222222222222,unsafe_action_rate,less
pad_risk,31442,0.03777777777777778,0.017777777777777778,-0.02,unsafe_action_rate,less
pad_risk,31495,0.04,0.01888888888888889,-0.021111111111111112,unsafe_action_rate,less
pad_risk,31548,0.03333333333333333,0.012222222222222223,-0.02111111111111111,unsafe_action_rate,less
pad_risk,31601,0.043333333333333335,0.01888888888888889,-0.024444444444444446,unsafe_action_rate,less
pad_risk,31654,0.04666666666666667,0.022222222222222223,-0.024444444444444446,unsafe_action_rate,less
pad_risk,31707,0.03777777777777778,0.014444444444444444,-0.023333333333333334,unsafe_action_rate,less
pad_risk,31760,0.03888888888888889,0.02,-0.01888888888888889,unsafe_action_rate,less
pad_risk,31813,0.043333333333333335,0.017777777777777778,-0.025555555555555557,unsafe_action_rate,less
pad_risk,31866,0.03888888888888889,0.01888888888888889,-0.02,unsafe_action_rate,less
pad_risk,31919,0.05555555555555555,0.015555555555555555,-0.039999999999999994,unsafe_action_rate,less
pad_risk,31972,0.04666666666666667,0.016666666666666666,-0.030000000000000002,unsafe_action_rate,less
pad_risk,32025,0.05444444444444444,0.024444444444444446,-0.029999999999999995,unsafe_action_rate,less
pad_risk,32078,0.04111111111111111,0.014444444444444444,-0.02666666666666667,unsafe_action_rate,less
pad_risk,32131,0.042222222222222223,0.017777777777777778,-0.024444444444444446,unsafe_action_rate,less
pad_risk,32184,0.04111111111111111,0.014444444444444444,-0.02666666666666667,unsafe_action_rate,less
pad_risk,32237,0.04888888888888889,0.01888888888888889,-0.030000000000000002,unsafe_action_rate,less
pad_risk,32290,0.03666666666666667,0.015555555555555555,-0.021111111111111112,unsafe_action_rate,less
pad_risk,32343,0.042222222222222223,0.016666666666666666,-0.025555555555555557,unsafe_action_rate,less
pad_risk,32396,0.044444444444444446,0.016666666666666666,-0.02777777777777778,unsafe_action_rate,less
pad_risk,32449,0.034444444444444444,0.015555555555555555,-0.01888888888888889,unsafe_action_rate,less
pad_risk,32502,0.04111111111111111,0.017777777777777778,-0.023333333333333334,unsafe_action_rate,less
pad_risk,32555,0.04666666666666667,0.023333333333333334,-0.023333333333333334,unsafe_action_rate,less
pad_risk,32608,0.04888888888888889,0.01888888888888889,-0.030000000000000002,unsafe_action_rate,less
pad_risk,32661,0.03777777777777778,0.017777777777777778,-0.02,unsafe_action_rate,less
pad_risk,32714,0.044444444444444446,0.017777777777777778,-0.02666666666666667,unsafe_action_rate,less
pad_risk,32767,0.03777777777777778,0.016666666666666666,-0.021111111111111112,unsafe_action_rate,less
pad_risk,32820,0.03666666666666667,0.016666666666666666,-0.02,unsafe_action_rate,less
pad_risk,32873,0.06555555555555556,0.021111111111111112,-0.04444444444444445,unsafe_action_rate,less
pad_risk,32926,0.03888888888888889,0.015555555555555555,-0.023333333333333334,unsafe_action_rate,less
pad_risk,32979,0.042222222222222223,0.023333333333333334,-0.01888888888888889,unsafe_action_rate,less
